League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Bundesliga 2,16/10/98,Wattenscheid,TB Berlin,1.0,1.0,H
Bundesliga 2,18/10/98,Bielefeld,Uerdingen,1.0,0.0,H
Bundesliga 2,18/10/98,Greuther Furth,Gutersloh,3.0,2.0,H
Bundesliga 2,18/10/98,Mainz,St Pauli,3.0,0.0,H
Bundesliga 2,18/10/98,Ulm,Cottbus,3.0,2.0,D
Bundesliga 2,18/10/98,Unterhaching,F Koln,1.0,0.0,H
Bundesliga 2,19/10/98,FC Koln,Dusseldorf,1.0,0.0,H
Bundesliga 2,21/10/98,Uerdingen,Greuther Furth,0.0,2.0,A
Bundesliga 2,23/10/98,Cottbus,Mainz,0.0,2.0,D
Bundesliga 2,23/10/98,Oberhausen,Ulm,1.0,2.0,D
Bundesliga 2,23/10/98,Stuttgarter K,Bielefeld,2.0,2.0,D
Bundesliga 2,25/10/98,Dusseldorf,Unterhaching,1.0,3.0,A
Bundesliga 2,25/10/98,Greuther Furth,Wattenscheid,3.0,1.0,H
Bundesliga 2,25/10/98,Gutersloh,St Pauli,3.0,4.0,A
Bundesliga 2,25/10/98,TB Berlin,Karlsruhe,2.0,2.0,H
Bundesliga 2,25/10/98,Uerdingen,FC Koln,1.0,2.0,D
Bundesliga 2,26/10/98,F Koln,Hannover,0.0,0.0,H
Bundesliga 2,30/10/98,FC Koln,Stuttgarter K,2.0,1.0,D
Bundesliga 2,30/10/98,Mainz,Oberhausen,1.0,0.0,D
Bundesliga 2,30/10/98,Wattenscheid,Gutersloh,1.0,1.0,D
Bundesliga 2,31/10/98,Unterhaching,Uerdingen,1.0,0.0,H
Bundesliga 2,01/11/98,Hannover,Dusseldorf,1.0,2.0,D
Bundesliga 2,01/11/98,Karlsruhe,Greuther Furth,3.0,0.0,H
Bundesliga 2,01/11/98,St Pauli,Cottbus,2.0,1.0,D
Bundesliga 2,01/11/98,Ulm,F Koln,2.0,3.0,D
Bundesliga 2,02/11/98,Bielefeld,TB Berlin,0.0,1.0,H
Bundesliga 2,06/11/98,Stuttgarter K,Unterhaching,2.0,0.0,H
Bundesliga 2,06/11/98,Wattenscheid,Karlsruhe,1.0,0.0,D
Bundesliga 2,08/11/98,Dusseldorf,Ulm,3.0,3.0,D
Bundesliga 2,08/11/98,F Koln,Mainz,1.0,0.0,H
Bundesliga 2,08/11/98,Greuther Furth,Bielefeld,3.0,0.0,H
Bundesliga 2,08/11/98,Gutersloh,Cottbus,1.0,1.0,D
Bundesliga 2,08/11/98,Oberhausen,St Pauli,2.0,2.0,H
Bundesliga 2,09/11/98,TB Berlin,FC Koln,0.0,1.0,D
Bundesliga 2,13/11/98,Cottbus,Oberhausen,1.0,2.0,D
Bundesliga 2,13/11/98,Hannover,Stuttgarter K,2.0,1.0,H
Bundesliga 2,13/11/98,Mainz,Dusseldorf,1.0,0.0,D
Bundesliga 2,13/11/98,Unterhaching,TB Berlin,0.0,1.0,H
Bundesliga 2,15/11/98,Bielefeld,Wattenscheid,0.0,0.0,H
Bundesliga 2,15/11/98,FC Koln,Greuther Furth,4.0,0.0,H
Bundesliga 2,15/11/98,St Pauli,F Koln,3.0,0.0,D
Bundesliga 2,15/11/98,Ulm,Uerdingen,1.0,2.0,D
Bundesliga 2,16/11/98,Karlsruhe,Gutersloh,1.0,3.0,A
Bundesliga 2,20/11/98,Dusseldorf,St Pauli,0.0,2.0,D
Bundesliga 2,20/11/98,F Koln,Cottbus,0.0,0.0,H
Bundesliga 2,20/11/98,Oberhausen,Gutersloh,2.0,0.0,H
Bundesliga 2,20/11/98,Uerdingen,Mainz,3.0,2.0,D
Bundesliga 2,20/11/98,Wattenscheid,FC Koln,5.0,1.0,D
Bundesliga 2,22/11/98,Greuther Furth,Unterhaching,0.0,0.0,D
Bundesliga 2,22/11/98,Stuttgarter K,Ulm,2.0,2.0,D
Bundesliga 2,22/11/98,TB Berlin,Hannover,3.0,1.0,H
Bundesliga 2,23/11/98,Bielefeld,Karlsruhe,1.0,1.0,H
Bundesliga 2,27/11/98,Cottbus,Dusseldorf,1.0,1.0,H
Bundesliga 2,29/11/98,Gutersloh,Bielefeld,2.0,2.0,D
Bundesliga 2,29/11/98,Hannover,Greuther Furth,0.0,1.0,D
Bundesliga 2,29/11/98,Oberhausen,F Koln,2.0,0.0,D
Bundesliga 2,29/11/98,Ulm,TB Berlin,3.0,0.0,H
Bundesliga 2,29/11/98,Unterhaching,Wattenscheid,1.0,0.0,H
Bundesliga 2,30/11/98,FC Koln,Karlsruhe,1.0,1.2,H
Bundesliga 2,01/12/98,St Pauli,Uerdingen,1.0,3.0,A
